Tweet Text,Username,Profile Description
RT @cobta: クラウドワークスは本当にフリーランス10年以上やってる身としておすすめしません。,pierre5,N/A,2025-03-17T00:10:00.000Z
"RT @thai_ura: #本日のフリーランス
ラヨーン工業団地で働いていたけどフリーランスになったと言うJちゃん1500。郊外のローカル置屋地帯の立ちん坊は1500が相場なので、そこを基準にしてる娘が多い。Bowinのタレートーンはまだまだ1500👍️ https://t.…",N/A,N/A,2025-03-17T00:09:54.000Z
"RT @yabusanga: @HON5437 2億1000万円を非課税で全額相続した私人の安倍昭恵は、フリーランスのデザイナーでもあったのか。
多才ですね。",N/A,N/A,2025-03-17T00:09:05.000Z
"RT @ozadomi: 【お知らせ✒️】
この度、兼業からフリーランスとして活動していくことになりました！

イラストやキャラクターデザインのお仕事について
全てはお受けできない可能性がございますが、
興味がございましたらご連絡いただけると幸いです！
よろしくお願い致します…",N/A,N/A,2025-03-17T00:08:55.000Z
"RT @yabusanga: @HON5437 2億1000万円を非課税で全額相続した私人の安倍昭恵は、フリーランスのデザイナーでもあったのか。
多才ですね。",N/A,N/A,2025-03-17T00:08:47.000Z
RT @cobta: クラウドワークスは本当にフリーランス10年以上やってる身としておすすめしません。,N/A,N/A,2025-03-17T00:08:34.000Z
"RT @ozadomi: 【お知らせ✒️】
この度、兼業からフリーランスとして活動していくことになりました！

イラストやキャラクターデザインのお仕事について
全てはお受けできない可能性がございますが、
興味がございましたらご連絡いただけると幸いです！
よろしくお願い致します…",N/A,N/A,2025-03-17T00:08:12.000Z
"RT @yabusanga: @HON5437 2億1000万円を非課税で全額相続した私人の安倍昭恵は、フリーランスのデザイナーでもあったのか。
多才ですね。",N/A,N/A,2025-03-17T00:07:54.000Z
RT @cobta: クラウドワークスは本当にフリーランス10年以上やってる身としておすすめしません。,N/A,N/A,2025-03-17T00:07:44.000Z
RT @cobta: ちなみに政府や大手企業が「フリーランスや副業で視野が広がる」とか吹聴してるのは「年金が消えても老後も稼いでね」「うちは昇給しませんから他の会社からもらってね」という「自助」のキラキラ粉飾コーティングワードとして「フリーランス」を使ってるんだと思います。わた…,N/A,N/A,2025-03-17T00:07:21.000Z
RT @cobta: クラウドワークスでも、単にPCでサクサク量こなしてお小遣い〜みたいな、こういうグレーなやつなら、良心が痛まなければやってもいいんでしょうけど、「フリーランスで食べていきたい」「クリエイティブで副業から始めたい」と考える方には全くおすすめしません。また、ラン…,N/A,N/A,2025-03-17T00:06:43.000Z
RT @cobta: クラウドワークスは本当にフリーランス10年以上やってる身としておすすめしません。,N/A,N/A,2025-03-17T00:06:42.000Z
RT @cobta: クラウドワークスは本当にフリーランス10年以上やってる身としておすすめしません。,N/A,N/A,2025-03-17T00:06:37.000Z
RT @cobta: クラウドワークスは本当にフリーランス10年以上やってる身としておすすめしません。,N/A,N/A,2025-03-17T00:06:30.000Z
"RT @ozadomi: 【お知らせ✒️】
この度、兼業からフリーランスとして活動していくことになりました！

イラストやキャラクターデザインのお仕事について
全てはお受けできない可能性がございますが、
興味がございましたらご連絡いただけると幸いです！
よろしくお願い致します…",N/A,N/A,2025-03-17T00:06:17.000Z
