Tweet,Account Name,Profile,Created At
"フリーランスでも似たものを感じていたな。
営業活動に熱心なフリーランスさんって割と本業が……、本業がナイスな人は営業活動とか”余計なこと”をやっている暇がなくなってた。業務を絞って自ら特化する人もいるけど、求められることが絞られていって周りに特化させてもらえる人もいる https://t.co/iDpalsBX8P",sacanaace,スキなものだけ、ステキなものだけ。ケラケラとケセラセラ。音楽、映画、バイク、ボードゲーム、写真好きのロシア人だと思ってる日本人編ロシア集者。論争しませんユーウィンです。フォローするだけ無駄です。乗機は2008年空冷スラと2015年Ace125。アイコンは三匹のおさかなです。三匹目は見つけられました？,2025-03-18T07:23:29.000Z
"フリーランスになる前の最大の不安。

それは、営業が苦手すぎることでした。

1文字0.1円、0.4円、1.5円…
副業時代「実績が増えれば単価は上がるはず！」
そう思って必死に記事を書き続けたけど、月5万円で頭打ちに。

でも、あるときトップセールスマンの夫に言われたんです。↓",suyamayuzu,フリーライター｜SEO・取材・Kindle代行・サポート｜ジャンル:地域・旅行・金融・子育て・ライフスタイル｜Amazon売れ筋&ベストセラー1位｜note50PV｜FP2級・旅行業務取扱管理｜5歳1歳の母｜#ものキャン6期｜子どもにおかえりが言える働き方を,2025-03-18T07:21:06.000Z
"@rey_kks74 ありがとうございます💕🎉
確かに…確かに、良縁を今まさに欲しているところです（フリーランス的な意味で。笑）！！
企業さんに向けて営業するイイきっかけになるお言葉ありがとうございます！",K256tb,"20↑yo/ illustrator
二次：BBBスミイサ
実績：「鬼神ブレイド」で３キャラ担当etc
skeb➡https://t.co/PmYq9PKgOq 
VGen➡https://t.co/CyFsMGf7XE
portfolio➡https://t.co/dFLhd7P9d5",2025-03-18T05:39:47.000Z
"📣インスタフォロワー販売中！📣

\\アカウントの集客サポート致します//

✔︎フォロワー販売
✔︎高品質フォロワー
✔︎PayPay払い

お気軽にDMまたはリンクの公式LINE📱まで💌

https://t.co/LNIkc6Lps2 https://t.co/LNIkc6Lps2

#フリーランス #フォロ爆 #営業 #メンズエステ",5kyoruichi4309,【SNS発信者向けのコンテンツを販売🌈】販売歴3年以上✨ X（Twitter）／Instagram／YouTube／TikTok｜PayPay払い｜減少補償有り｜通常24時間以内に増加開始🔥｜詳細は固定ツイートをご確認ください✨｜ご相談、ご依頼はDMまたはLINEにお問い合わせください⭐️,2025-03-18T05:36:34.000Z
"綺麗なホテルだった！
また行きたい👍

#副業探しています #副業始めました #ビジネス #フリーランス #投資 #AI副業 #ブログ #コンテンツ #コンテンツビジネス #マーケティング #営業 #アフィリエイト #snsマーケティング #sns運用 #資産形成 #資産運用 #融資 #案件 #フォロー #相互フォロー #旅行好き",SA7Pmd0lMi11642,"愛知/26歳/旅行好き✈️毎月、毎年旅行いく！
AI副業勉強中",2025-03-18T04:34:00.000Z
"このポストはこんな仕事もやってますよーというフリーランス仕事の営業も兼ねたものですので、すみませんが収録曲などについてのご質問のリプ、引用ポストには答え出来かねます。(そのための発売元リンク付です)   
仕事のオファー、お問合せは大変有難いです。  
よろしくお願い申し上げます",micktk,"ヘッダー=企画制作の2/5発売CD BOX/バップ勤務時は芸能系と映像宣伝~制作 バップでの制作CD→https://t.co/4lWCuCRrmp 現在フリーでCD,DVD,書籍企画制作/過去イベント昭和アイドルアーカイブス,ハロプロショップでハロショトーク/FMレギュラー出演中/雑誌 昭和40年男",2025-03-18T03:59:02.000Z
"このポストはこんな仕事もやってますよーというフリーランス仕事の営業も兼ねたものですので、すみませんが収録内容などについてのご質問のリプ、引用ポストには答え出来かねます。(そのための発売元リンク付です)  
仕事のオファー、お問合せは大変有難いです。 
よろしくお願い申し上げます",micktk,"ヘッダー=企画制作の2/5発売CD BOX/バップ勤務時は芸能系と映像宣伝~制作 バップでの制作CD→https://t.co/4lWCuCRrmp 現在フリーでCD,DVD,書籍企画制作/過去イベント昭和アイドルアーカイブス,ハロプロショップでハロショトーク/FMレギュラー出演中/雑誌 昭和40年男",2025-03-18T03:53:54.000Z
"このポストはこんな仕事もやってますよーという音楽業界などへ向けたフリーランス仕事の営業も兼ねたものですので、すみませんが収録内容などについてのご質問には答え出来かねます。(そのため発売元リンク付きです) 
仕事のオファー、お問合せは大変有難いです。
よろしくお願い申し上げます",micktk,"ヘッダー=企画制作の2/5発売CD BOX/バップ勤務時は芸能系と映像宣伝~制作 バップでの制作CD→https://t.co/4lWCuCRrmp 現在フリーでCD,DVD,書籍企画制作/過去イベント昭和アイドルアーカイブス,ハロプロショップでハロショトーク/FMレギュラー出演中/雑誌 昭和40年男",2025-03-18T03:44:58.000Z
"＞RT
フリーランスになってからよくある事として可視化された。営業はクソ",lemo_rin,インターネット・ツチノコ,2025-03-18T03:12:04.000Z
"今更ながら
営業力が乏しいおいらは
フリーランスは難しいなと思い始めた💦
なんやかんやのもやもやを吹き飛ばすために

温泉➡️サウナ➡️水風呂
  ⬆️                          ⬇️
休憩⬅️岩盤浴⬅️休憩

を1時間半かけて整えた
そして後のコレ😆
せっかくのデトックスとコレで台無しな気もするが… https://t.co/f9NkgQH2Fp https://t.co/lEdzky99vG",nobutomitsu,のほほんとした生活を心がけ、自分の心の静寂を手に入れたいと思っているシステム屋のおぢさん。共同ブログMuraGaruの管理が最近のライフワーク💻素人おぢさん料理でストレス発散✨イーヨーをこよなく愛し、パソコンに夢中⌨️なんです。最近副業で介護業界のお手伝いもはじめました,2025-03-18T02:58:42.000Z
