Tweet,Account Name,Profile,Created At
"4月は業務委託とインターンジョインが多いのでその辺丁寧にオンボしつつ、PMデリバリー案件はシュッと進行させ、営業とマーケに思考と行動量割くぞ。

方針もシャープになってきてケチャドバ前夜感あるのでやっていく！！",roki_n_,アンドエル取締役COO / プロダクトマネジメント・事業立ち上げ・生成AIが興味領域 / 法人向けオンライン診療・健康支援サービスAndL Workやってます / ex-Retty VPoP / CSPO / アジャイルとUXリサーチ好きPM / セレサポ歴25年🌸 / ⚽️⛳️🧖‍♂️🎞️ / DMフリー,2025-03-31T12:49:41.000Z
"来月から独立される方ご連絡ください！
業務委託でご支援可能の仕事が多数ありまして、、。

人事、営業、マーケの業務が多いです。
ご相談させていただきたいです！

#春からフリーランス
#フリーランス
#副業",okariku_oobake,☀️副業・フリーランス活用を検討中の方は気軽にDMください！☀️ / 株式会社プロの副業 / 15000人のプロシェアリング / https://t.co/ODUeAd5pKk / 川越産 / #HR #副業 #フリーランス,2025-03-31T09:54:34.000Z
"来月から独立される方ご連絡ください！
業務委託でご支援可能の仕事が多数ありまして、、。

人事、営業、マーケの業務が多いです。
ご相談させていただきたいです！

#春からフリーランス
#副業",okariku_oobake,☀️副業・フリーランス活用を検討中の方は気軽にDMください！☀️ / 株式会社プロの副業 / 15000人のプロシェアリング / https://t.co/ODUeAd5pKk / 川越産 / #HR #副業 #フリーランス,2025-03-31T09:54:19.000Z
"YouTubeマーケの業務委託案件ですが、まさか合格するとは思っていませんでした。
全くの畑違いですが、良い機会なので色々学びます。",kensetsu_hide63,建設業界の組織・人材育成のお悩みを解決します｜マネジメント経験10年｜実家は建設業｜ウェブ解析士｜マネジメントや業界の最新情報について発信しています｜無料相談は公式LINEから↓,2025-04-08T06:00:00.000Z
"#案件情報【ゲーム好き必見🎮】

様々なゲームタイトルを扱う企業様でマーケ案件が出ました！
SNS運用×広告運用×プロモ経験を活かせます📱✨

💻 フルリモート
💰 月収32万円
🎯 業務委託×複数名募集

気になる方、どしどしDMください📩
#フリーランス案件 #広告運用 #SNS運用 #ゲーム業界 https://t.co/KXp2kdYgXs",akahaiagent,"Web広告運用・Webマーケティングに特化したエージェントサービス【アカハイエージェント】
★キャア採用/フリーランス・個人事業主支援/派遣支援 | Web集客～Web業界人材の採用まで支援 | 集客・採用にお困りの企業様はDMでご連絡ください！",2025-04-08T04:00:01.000Z
正社員だけの体制では、現代の市場の変化に対応しきれない。外部の専門家や業務委託人材との協業を含めた柔軟な体制づくりが、マーケの安定性を高めるためにも重要になっている,GuoLai61265,【広告人材不足を解決する相談窓口】エンリッチ㍿ 代表取締役CEO｜ADKやアドウェイズ出身｜福岡↔︎東京2拠点｜２児の父｜120社以上の大手・中小の事業主と広告会社の支援実績アリ｜広告業界の人材不足解決になる情報発信│10万/月からプロ人材活用可能！プロ人材活用や施策提案は無料！お悩みを教えてください！ ※DM歓迎！,2025-04-07T09:04:00.000Z
@wormamaantenna 43歳でキャリアチェンジしました。未経験からのWebデザイナー。デザインスキルだけでは仕事がなく、Webマーケ、ライティング等のスキルも学び、業務委託で中小企業のWeb専任担当に。4年目にしてやっと制作会社でアシスタントディレクターに。死ぬほど大変でした。アラフォー未経験にはお勧めしません,vol_eg_design,▷Webデザイナー▷フリーランス、在宅ワーク▷家族との時間を大事にしたい,2025-04-09T16:26:35.000Z
"★マーケ人材紹介★

【プロフィール】
40代男性
契約形態：業務委託
稼働工数：160h/月

▼スキル
・WEB制作：10年
・マーケ：10年
・広告運用：5年(G・Y・Meta)
・EC運用：5年
・データ分析：3年

非常に優秀な人材です！少しでもご興味ある企業様はDMください！

#マーケター　#フリーランス",bKIdGFayzVt5FEn,Web広告✖️人材 マーケターに特化した求人や案件を紹介しています。  広告代理店やインハウスでお仕事をお探しの方はお声がけください！ 転職、フリーランスいずれも大歓迎です！  情報交換も嬉しいです！  採用されたい企業様もお声がけください！,2025-04-08T08:02:02.000Z
"YouTubeマーケの業務委託案件ですが、まさか合格するとは思っていませんでした。
全くの畑違いですが、良い機会なので色々学びます。",kensetsu_hide63,建設業界の組織・人材育成のお悩みを解決します｜マネジメント経験10年｜実家は建設業｜ウェブ解析士｜マネジメントや業界の最新情報について発信しています｜無料相談は公式LINEから↓,2025-04-08T06:00:00.000Z
"#案件情報【ゲーム好き必見🎮】

様々なゲームタイトルを扱う企業様でマーケ案件が出ました！
SNS運用×広告運用×プロモ経験を活かせます📱✨

💻 フルリモート
💰 月収32万円
🎯 業務委託×複数名募集

気になる方、どしどしDMください📩
#フリーランス案件 #広告運用 #SNS運用 #ゲーム業界 https://t.co/KXp2kdYgXs",akahaiagent,"Web広告運用・Webマーケティングに特化したエージェントサービス【アカハイエージェント】
★キャア採用/フリーランス・個人事業主支援/派遣支援 | Web集客～Web業界人材の採用まで支援 | 集客・採用にお困りの企業様はDMでご連絡ください！",2025-04-08T04:00:01.000Z
